subject,text,priority,queue
Soundkarte macht Probleme,"Hallo Support-Team, meine Soundkarte Model X43 spielt seit dem letzten Treiber-Update keinen Ton mehr ab. Neuinstallation hat nicht geholfen. Gruß, Sükran Heimann",2,Hardware
Angebot für Jahresabschluss Software,"Hallo, könnten Sie mir ein Angebot für Ihre Jahrsabschluss-Software machen? Grüße, Jennii Holstein",1,Buchhaltung
Softwarefehler in Lectora Inspire,"Hallo Support, Lectora Inspire öffnet sich nicht mehr nach dem letzten Update.",3,Software
Rechnungsfrage zur letzten Transaktion,"Sehr geehrte Damen und Herren,

beim Durchsehen meiner Unterlagen ist mir aufgefallen, dass die Rechnung zu meiner letzten Bestellung doppelt berechnet wurde. Bitte überprüfen Sie dies und stellen Sie eine korrigierte Rechnung aus.

Vielen Dank,
Tobias Seifert",2,Buchhaltung
Feature-Wunsch für 'Image Recognition',"Sehr geehrte Damen und Herren, könnte die Software 'Image Recognition' um eine Funktion zur automatischen Klassifikation von Schadensbildern erweitert werden? Das wäre sehr hilfreich. Danke!",1,Software
Frage zum Netfirms Software-Produkt,"Sehr geehrte Damen und Herren, ich nutze Ihre Netfirms-Software und habe Probleme mit der Synchronisation meiner Dateien. Es scheint, als ob einige Dateien nicht korrekt gespeichert werden. Können Sie mir bitte weiterhelfen? Herzlichen Dank, Hans Zimmer",2,Software
Dringende Anfrage zur Gehaltsabrechnung für Mai 2023,"Sehr geehrter Kundensupport,
ich habe ein dringendes Problem mit meiner Gehaltsabrechnung für Mai 2023. Der Betrag ist nicht korrekt überwiesen worden und ich benötige sofort eine Klärung und Korrektur. Bitte kontaktieren Sie mich umgehend unter meiner Mitarbeiter-ID 482019. Für Rückfragen stehe ich Ihnen jederzeit zur Verfügung.
Mit freundlichen Grüßen,
Heike Steinmann",3,Buchhaltung
Mitarbeiteranfrage: Arbeitsrecht - Rechtsberatung benötigt,"Sehr geehrtes Buchhaltungsteam, 
Ich habe eine rechtliche Frage bezüglich meiner Arbeitszeiten und deren Übersicht hinsichtlich des Arbeitsrechts. Könnten Sie mir Informationen oder eine Ansprechpartner nennen, der sich genau mit diesen Fragen auskennt, um Missverständnisse zu vermeiden? 
Mit freundlichen Grüßen, 
Anouk Timm",1,Buchhaltung
Dringende Klärung zur Rechnung RE45781203,"Sehr geehrte Damen und Herren, ich habe bei meinem letzten Kauf die Rechnung RE45781203 erhalten. Nach Überprüfung sind mir mehrere Unstimmigkeiten aufgefallen, die ich dringend klären muss, da ich die richtigen Beträge für die Buchhaltung brauche. Bitte um schnellen Rückruf. Mit freundlichen Grüßen, Hans Jürgen Strauch",3,Buchhaltung
Dienstwagenabrechnung Januar 2023,"Sehr geehrte Damen und Herren,
ich benötige detaillierte Informationen über die Abrechnung des Dienstwagens für den Monat Januar 2023. Bitte senden Sie mir eine Aufstellung und eventuelle Rückfragen bezüglich der Spesen.
Vielen Dank.
Jakob Rott",2,Buchhaltung
Drupal – Kategorie ändern nicht möglich,"Sehr geehrte Damen und Herren, bei meinem Drupal-System tritt der Fehler auf, dass Kategorien nicht gespeichert werden. Dies verursacht größere Probleme beim Verwalten des Inhalts. Eine schnelle Lösung wäre sehr wünschenswert. Freundliche Grüße, Reinhardt Müller",2,Software
Anfrage wegen Update-Fehler in Shopware,"Hallo Kundensupport,

ich nutze die Software Shopware für meinen Online-Shop und habe beim letzten Update einen Fehler festgestellt. Die Plugin-Verknüpfungen funktionieren nicht mehr korrekt und ich benötige Unterstützung, um das Problem zu beheben.

Mit freundlichen Grüßen,
Verena Koch",2,Software
Anfrage zur Anpassung der Gehaltsabrechnung,"Sehr geehrte Damen und Herren, aufgrund meiner kürzlichen Beförderung bitte ich um eine Anpassung meiner Gehaltsabrechnungen. Könnten Sie außerdem die Adresse aktualisieren? Alte: Lindenweg 12, 30159 Hannover, Neue: Sonnenstraße 5, 30519 Hannover. Vielen Dank!",1,Buchhaltung
Rechnungsfrage zur Buchung #B12345,"Sehr geehrte Damen und Herren,
meine letzte Rechnung mit der Buchungsnummer #B12345 hat einige Positionen, die ich nicht nachvollziehen kann. Könnten Sie diese bitte überprüfen und mir eine Erläuterung schicken?
Vielen Dank im Voraus,
Hannah Schulze",2,Buchhaltung
Frage zur neuen Unternehmens-Buchhaltungsrichtlinie,"Guten Tag, könnten Sie bitte die neue Buchhaltungsrichtlinie erläutern? M.f.G, Евгений Sattler",1,Buchhaltung
Installation des neuen Scanners – Probleme und Hilfe benötigt,"Hallo, mein neuer Scanner wurde geliefert, aber beim Versuch der Installation gibt es Fehlermeldungen. Bräuchte eure Unterstützung, um das Gerät korrekt einzurichten.",1,Hardware
Hilfestellung bei GitHub Funktionen notwendig,"Sehr geehrtes Support-Team, ich nutze derzeit GitHub für ein privates Projekt und habe Schwierigkeiten mit den spezifischen Funktionen des Branch Merge. Könntet Ihr mir genauso freundlich behilflich sein und Beispiele oder Guides liefern, wie genau der Merge konfiguriert werden soll? Vielen Dank im Voraus! Freundliche Grüße, Diethelm Stricker",1,Software
Frage wegen VR Headset,"Hallo Kundensupport,

Ich habe mein VR Headset vor zwei Wochen bei Ihnen gekauft. Jetzt habe ich ein kleines Problem: das Bild hat manchmal Aussetzer und ruckelt. Könnten Sie mir sagen, ob es ein bekanntes Problem ist? Dankeschön!

Beste Grüße,
Inge Jäger",1,Hardware
Problem mit Google Cloud Console,"Sehr geehrtes Support-Team, ich nutze eure Software Google Cloud Console und stelle fest, dass bestimmte APIs seit dem letzten Update nicht korrekt funktionieren. Könntet ihr bitte den Status dieser APIs überprüfen und mir ein Update dazu geben? Ich habe wichtige Projekte, die sofortige Aufmerksamkeit auf Fehlerfreiheit brauchen. Vielen Dank im Voraus für Ihre Unterstützung. Mit freundlichen Grüßen, Günther Müller",2,Software
Proximity Sensor - Frage zum Update,Kann ich ein Update für meinen Sensor bekommen?,1,Hardware
Mitarbeiteranfrage: Softwareproblem,"Sehr geehrtes Support-Team, eine unserer Mitarbeiterinnen, Frau Agnieszka Zöller, hat ein Problem mit ihrer Arbeitssoftware „TechPro Pro 10.2”. Sie meldete vermehrte Abstürze und Datenverlust. Für eine unkomplizierte Abwicklung bitten wir um eure rasche Unterstützung. Vielen Dank im Voraus! ",1,Buchhaltung
Zugriffsrechte für Mitarbeiterkonto,"Hallo Kundensupport, ich benötige dringend Zugriff für mein Mitarbeiterkonto in unserem IT-System. Ohne die entsprechenden Rechte kann ich aktuell meine tägliche Arbeit nicht effizient ausführen. Bitte gewährt mir die notwendigen Berechtigungen so schnell wie möglich. Vielen Dank, Hase Jürgen",2,Buchhaltung
Frage zu Cubase Pro 11 - Zwischenspeichern,"Sehr geehrte Damen und Herren,
ich habe eine kleine Frage zu Cubase Pro 11. Mir ist aufgefallen, dass beim Zwischenspeichern meiner Projekte es zu minimalen Verzögerungen kommt. Das beeinträchtigt mein Arbeiten generell nicht groß, aber ich wollte wissen, ob das normal ist oder ob es eine Einstellung gibt, die dies verhindern kann. Mit freundlichen Grüßen, Egon Edelmann",1,Software
Dringende Hilfe bei Zahlungsbestätigung für letzten Auftrag,"Sehr geehrte Damen und Herren, mein Name ist Josua Mueller, und ich habe noch keine Zahlungsbestätigung für den Auftrag mit der Bestellnummer 547820 erhalten. Ich benötige diese Bestätigung dringend, da ich diese für meine Buchhaltung und deren Abschluss übergeben muss. Die Transaktion wurde am 5. Oktober durchgeführt. Warum dauert es so lange? Ansonsten müssen wir möglicherweise unser Engagement überdenken.",3,Buchhaltung
HIPAA Compliance - Akkuter Datenverlust nach Update,"Sehr geehrte Damen und Herren, nach dem letzten Update unserer HIPAA-Compliance-Software sind plötzlich alle unsere Gesundheitsdaten verschwunden. Dieser Verlust ist absolut unverantwortlich und gefährdet unseren Betrieb. Bitte setzen Sie sich umgehend mit mir in Verbindung, um dieses Problem schnellstmöglich zu lösen. Mit freundlichen Grüßen, Aytac Heidenreich",3,Software
Unregelmäßigkeiten bei der letzten Zahlung,"Sehr geehrte Damen und Herren, beim Abgleich meiner Bankkontoauszüge mit Ihren Rechnungen habe ich festgestellt, dass eine Tarifdifferenz auf Rechnung NRH56789111 vom 12. April für den Artikel AR194_AB auftritt. Können Sie dies bitte überprüfen und mir eine korrigierte Rechnung zusenden? Herzlichen Dank im Voraus und freundliche Grüße, Kyra Ca",2,Buchhaltung
RapidMiner Update auf 10.0.3 gewünscht,"Hallo liebes Support-Team, ich würde gerne mein RapidMiner Update auf die Version 10.0.3 durchführen, wann wäre das möglich und was wäre der zu erwartende Aufwand? Danke im Voraus, Doreen Yildirim",1,Software
Frage zum Digitizer - Lange Ladezeit beim Einschalten,"Hallo, ich habe vor einigen Wochen den Digitizer bei Ihnen erworben. Mir ist aufgefallen, dass das Gerät beim Einschalten ziemlich lange benötigt, bis es vollständig betriebsbereit ist. Es betrifft nicht die Funktionalität, aber könnten Sie mir diesbezüglich einen Ratschlag geben? Viele Grüße, Lars Yilmaz",1,Hardware
Anfrage zur Funktionsweise von Deep Learning,"Hallo Kundensupport,

ich habe ein Problem mit Ihrem Deep Learning-Produkt. Es scheint nicht effektiv verschiedene Sprachbefehle zu erkennen. Ist das bekannt und gibt es bereits ein Update oder eine Lösung dafür?

Vielen Dank und mit freundlichen Grüßen,
Sven Pfeiffer",2,Software
Signalprobleme mit Satellitentelefon,"Sehr geehrte Damen und Herren, ich habe in letzter Zeit immer wieder Signalprobleme mit meinem Satellitentelefon. Trotz voller Batterie und klaren Himmels bricht die Verbindung häufig ab. Können Sie mir hierzu weiterhelfen oder möglicherweise ein Firmware-Update bereitstellen? Mit freundlichen Grüßen, Dusko Matthias",1,Hardware
Frage zum SMP im Squarespace Commerce,"Sehr geehrte Damen und Herren, 
ich nutze Ihre Software Squarespace Commerce und habe eine Frage zu den Einstellungen des SEO Moduls. Mir scheint es, dass die Änderungen nicht korrekt angewendet werden. Ist das ein bekanntes Problem oder mache ich eventuell etwas falsch? Bitte um Ihre Hilfe und detaillierte Rückmeldung. Danke! Freundliche Grüße, Irina Riedel",2,Software
Dringende Notwendigkeit zur Klärung meiner Rechnung Nr. 348293,"Sehr geehrte Damen und Herren, ich habe eine dringende Anfrage zu meiner letzten Rechnung Nr. 348293. Es scheint, als ob mir ein falscher Betrag berechnet wurde, und das Problem sollte so schnell wie möglich behoben werden, da es erhebliche Auswirkungen auf mein Geschäft hat. Bitte kontaktieren Sie mich so bald wie möglich. Mit freundlichen Grüßen, Tobi Schäfer",3,Buchhaltung
Dringend! Cubase stürzt bei jedem Start ab,"Hallo Support-Team, seit dem letzten Update stürzt mein Cubase ab, sobald ich es starte. Ich benutze es beruflich und brauche dringend eine Lösung. Können Sie bitte schnell helfen? Danke, Wilfried Möller",3,Software
xDai Software Feature Anfrage,"Hallo Support-Team, ich möchte eine neue Funktion in der xDai Software vorschlagen. Es wäre großartig, wenn man automatische Updates für Plugins im Hintergrund aktivieren könnte. Vielen Dank, Hayrettin Eich",2,Software
Frage zur Erstattung von IT-Kosten,"Hallo, ich möchte gerne den Prozess zur Erstattung von IT-Kosten klären. Gibt es Unterlagen, die ich einreichen muss? Dankeschön, Olaf Jovanovic",2,Buchhaltung
Dringende Hilfe benötigt - PCI DSS Compliance Zugang verweigert,"Sehr geehrte Damen und Herren, ich habe dringend Zugang zu unserer PCI DSS Compliance Software benötigt, um eine Pflichtprüfung durchzuführen, jedoch wird unser Zutritt wiederholt verweigert. Dies gefährdet unsere Geschäftsprozesse erheblich. Ich bitte um schnellstmögliche Unterstützung. Mit freundliche Grüßen, Daria Holtz",3,Software
Dringend! Rückstellung notwendiger Rechnungen,"Sehr geehrte Damen und Herren,

ich habe festgestellt, dass die letzten beiden Rechnungen, die ich erhalten habe, noch offene Posten aufweisen. Da ich dringend die Abschlüsse für das Quartal machen muss, benötige ich diese Rechnungen umgehend korrigiert und bearbeitet. Ich bitte Sie um eine schnelle Rückmeldung.

Mit freundlichen Grüßen,
Detlef Sauer",3,Buchhaltung
Fehlerhaft: PC-Lüfter funktioniert nicht richtig,"Sehr geehrtes Support-Team, ich habe bei Ihnen letzte Woche einen PC-Lüfter bestellt (Bestellnummer 154839921). Leider funktioniert der Lüfter nicht richtig - er macht laute Geräusche und kühlt nicht ausreichend. Bitte um Hilfe!",2,Hardware
Defektes USB-Kabel - Austausch benötigt,"Hallo liebes Support-Team,

ich habe am 12. März 2023 das USB-Kabel (Bestellnr. XY789654) bei Ihnen bestellt, das leider bereits defekt zu sein scheint. Es lädt meine Geräte nicht zuverlässig. Könnte ich es bitte umtauschen oder eine Erstattung erhalten?

Viele Grüße,
Andi Hesse
Kundennr. AH123456",2,Hardware
